id,ra,dec
0000000,    13.618315,    40.472064
0000001,    13.809446,    40.661278
0000002,    15.187424,    40.771398
0000003,    13.274720,    41.224555
0000004,    14.704402,    41.211989
0000005,    14.345084,    41.231687
0000006,    14.296354,    41.071006
0000007,    14.336230,    40.666933
0000008,    13.924338,    41.252811
0000009,    14.995886,    41.834242
0000010,    13.807330,    40.308371
0000011,    14.541180,    41.862443
0000012,    13.820682,    42.030375
0000013,    15.133583,    41.282293
0000014,    14.336450,    41.585623
0000015,    14.796728,    40.289086
0000016,    13.946030,    40.986824
0000017,    13.507405,    41.180398
0000018,    13.323120,    41.633233
0000019,    13.678748,    40.880080
0000020,    13.678498,    41.904222
0000021,    13.528557,    40.354143
0000022,    14.886241,    41.926347
0000023,    14.566985,    40.318222
0000024,    14.838707,    41.876868
0000025,    13.920518,    41.266364
0000026,    15.069422,    40.802225
0000027,    13.369656,    41.292665
0000028,    14.457829,    40.529201
0000029,    13.940622,    40.515957
0000030,    13.329296,    40.356547
0000031,    13.920124,    40.859897
0000032,    13.893173,    42.138507
0000033,    14.988922,    40.481532
0000034,    15.145891,    40.606377
0000035,    14.625731,    41.891026
0000036,    14.114945,    41.422956
0000037,    15.100450,    41.299997
0000038,    13.763097,    40.607341
0000039,    15.138082,    41.144259
0000040,    14.215318,    41.698849
0000041,    15.141916,    40.532030
0000042,    15.165450,    41.498455
0000043,    13.630378,    41.494913
0000044,    13.421520,    41.219052
0000045,    14.525023,    41.055625
0000046,    14.588132,    42.010588
0000047,    14.124782,    42.059550
0000048,    13.809792,    41.406777
0000049,    13.777730,    41.329805
0000050,    14.308539,    40.574562
0000051,    14.408194,    40.695735
0000052,    14.871252,    41.467641
0000053,    14.861810,    40.523133
0000054,    14.949520,    42.258703
0000055,    13.243555,    40.463871
0000056,    14.750538,    40.729007
0000057,    13.623111,    41.495555
0000058,    13.996739,    41.116781
0000059,    13.632326,    40.986270
0000060,    14.258225,    42.168591
0000061,    14.031597,    40.963837
0000062,    14.587098,    40.356213
0000063,    13.445191,    42.021349
0000064,    14.276964,    41.624000
0000065,    14.800232,    40.279617
0000066,    15.094617,    40.504281
0000067,    13.391255,    41.116147
0000068,    14.952210,    41.868095
0000069,    14.955634,    40.332142
0000070,    13.500493,    41.154301
0000071,    14.664727,    42.000588
0000072,    15.115498,    41.824556
0000073,    13.395799,    41.632760
0000074,    13.888818,    40.699730
0000075,    14.552226,    40.987445
0000076,    15.127489,    40.345579
0000077,    15.149746,    42.124984
0000078,    13.845365,    42.147592
0000079,    13.746967,    42.178590
0000080,    13.494831,    40.617414
0000081,    13.532982,    40.644898
0000082,    14.943989,    40.613120
0000083,    14.764186,    40.793048
0000084,    14.188881,    40.890398
0000085,    15.059603,    41.356495
0000086,    14.529221,    41.056071
0000087,    13.629655,    41.688171
0000088,    13.792362,    40.701070
0000089,    14.176260,    41.590067
0000090,    14.237720,    40.787711
0000091,    13.903676,    40.919297
0000092,    13.613103,    40.938206
0000093,    14.720947,    42.051642
0000094,    14.213643,    40.988403
0000095,    15.095175,    40.460155
0000096,    14.620266,    40.887820
0000097,    13.624031,    42.266581
0000098,    14.987704,    41.969497
0000099,    14.618808,    40.498953
0000100,    14.631144,    41.902440
0000101,    14.890064,    41.724789
0000102,    13.844641,    40.853241
0000103,    14.198840,    41.583181
0000104,    13.818700,    41.663026
0000105,    13.997840,    41.648982
0000106,    14.321477,    40.894408
0000107,    15.093816,    41.678906
0000108,    13.964803,    40.419350
0000109,    15.088162,    42.069525
0000110,    14.536413,    41.659823
0000111,    15.199661,    41.809390
0000112,    14.324635,    40.878033
0000113,    13.243271,    41.458193
0000114,    15.177685,    41.443818
0000115,    15.159774,    41.264854
0000116,    15.187184,    40.941557
0000117,    14.197082,    41.124810
0000118,    13.242435,    41.749336
0000119,    14.301510,    40.669765
0000120,    13.753402,    41.614592
0000121,    14.201343,    41.975996
0000122,    13.771918,    41.350361
0000123,    13.751100,    41.648147
0000124,    13.545277,    41.332672
0000125,    13.333697,    40.619862
0000126,    13.372211,    41.565796
0000127,    14.314878,    41.222209
0000128,    13.300963,    40.680673
0000129,    13.477529,    41.328086
0000130,    13.956482,    40.699417
0000131,    13.789120,    41.082174
0000132,    13.649471,    40.664766
0000133,    13.734807,    40.762486
0000134,    13.305179,    41.336389
0000135,    13.549342,    41.737059
0000136,    14.578143,    41.905616
0000137,    14.283299,    40.314376
0000138,    13.967345,    41.468617
0000139,    13.836235,    40.898245
0000140,    14.140355,    42.098969
0000141,    13.298274,    42.075227
0000142,    13.865673,    40.331622
0000143,    14.135095,    41.442191
0000144,    14.206465,    41.165973
0000145,    13.312183,    40.622206
0000146,    14.875737,    40.906899
0000147,    13.619078,    41.420674
0000148,    14.215818,    41.154624
0000149,    13.954673,    40.474703
0000150,    13.760248,    40.943780
0000151,    13.397501,    40.789911
0000152,    13.506848,    41.946481
0000153,    14.315841,    41.747124
0000154,    13.588858,    40.400497
0000155,    15.071660,    40.600805
0000156,    13.356379,    41.246990
0000157,    13.640293,    40.837469
0000158,    15.154337,    41.457753
0000159,    13.900392,    41.545177
0000160,    14.974495,    41.839947
0000161,    14.806972,    40.830412
0000162,    13.261146,    41.721596
0000163,    14.701973,    41.789737
0000164,    14.908923,    42.035866
0000165,    15.174332,    41.547590
0000166,    13.581281,    41.019320
0000167,    14.011649,    41.219398
0000168,    13.236821,    41.925162
0000169,    14.858576,    40.878157
0000170,    14.149497,    40.680025
0000171,    14.594307,    41.818103
0000172,    13.910092,    41.951067
0000173,    14.898993,    40.755573
0000174,    14.693280,    41.101457
0000175,    14.909990,    41.627693
0000176,    14.522296,    40.429452
0000177,    15.066828,    40.993284
0000178,    14.132866,    41.178514
0000179,    13.762305,    42.055130
0000180,    14.042980,    40.560141
0000181,    13.792528,    41.483431
0000182,    13.629083,    41.575122
0000183,    14.574631,    41.699589
0000184,    14.351735,    41.534726
0000185,    14.239829,    40.370788
0000186,    14.757291,    41.305585
0000187,    15.122298,    41.924719
0000188,    13.841637,    42.076781
0000189,    13.998039,    40.756794
0000190,    14.684750,    41.704217
0000191,    14.373918,    42.076001
0000192,    13.399001,    40.981663
0000193,    14.847639,    40.642382
0000194,    13.561905,    41.251139
0000195,    14.708260,    40.896591
0000196,    14.715211,    41.910424
0000197,    15.039909,    41.330761
0000198,    14.512637,    41.728807
0000199,    14.466387,    42.159220
0000200,    14.396986,    41.009974
0000201,    14.395438,    41.974224
0000202,    13.601578,    40.458383
0000203,    14.437211,    41.325712
0000204,    13.885813,    41.667452
0000205,    14.896846,    41.423503
0000206,    15.181642,    42.213235
0000207,    13.425720,    41.751691
0000208,    14.094113,    42.241821
0000209,    14.910860,    41.522754
0000210,    13.970057,    42.120139
0000211,    13.643056,    41.147992
0000212,    13.527727,    41.981361
0000213,    13.713699,    40.710722
0000214,    14.788990,    40.740819
0000215,    13.472695,    41.036353
0000216,    13.953467,    40.346051
0000217,    13.947838,    40.829162
0000218,    13.406589,    41.406587
0000219,    15.045678,    41.597779
0000220,    15.161206,    40.832591
0000221,    13.513124,    41.803988
0000222,    14.036317,    40.628232
0000223,    14.134312,    41.446740
0000224,    13.985925,    40.472336
0000225,    13.904484,    40.412692
0000226,    14.494716,    40.589432
0000227,    14.397937,    41.612605
0000228,    14.283251,    41.206430
0000229,    14.655994,    40.787144
0000230,    14.801433,    41.588200
0000231,    15.191576,    41.884333
0000232,    13.628363,    41.359768
0000233,    13.277790,    41.376506
0000234,    13.759204,    40.377036
0000235,    14.788950,    41.233040
0000236,    13.578005,    40.293825
0000237,    14.626616,    40.325351
0000238,    14.294069,    42.096350
0000239,    15.188714,    41.378638
0000240,    14.601558,    42.147614
0000241,    14.256118,    40.973959
0000242,    15.082091,    40.426773
0000243,    13.476934,    40.587666
0000244,    13.505398,    40.758782
0000245,    13.786247,    41.131588
0000246,    15.051131,    40.587686
0000247,    14.568379,    41.383727
0000248,    14.758833,    40.533282
0000249,    14.496210,    40.777726
0000250,    15.176841,    41.346643
0000251,    15.024945,    41.016220
0000252,    14.843473,    40.550525
0000253,    14.496814,    40.402994
0000254,    13.709653,    41.421540
0000255,    14.112821,    41.816507
0000256,    13.536949,    41.401337
0000257,    13.820925,    41.030880
0000258,    14.300297,    41.103334
0000259,    13.767496,    41.303683
0000260,    14.019306,    41.105820
0000261,    15.034811,    42.036517
0000262,    14.064148,    40.865848
0000263,    13.215637,    41.615331
0000264,    13.318458,    42.259256
0000265,    13.273598,    41.475509
0000266,    13.326474,    41.466936
0000267,    14.067065,    40.413179
0000268,    13.794020,    41.142483
0000269,    14.929686,    40.634403
0000270,    14.662854,    41.352568
0000271,    13.454631,    40.720719
0000272,    15.201931,    40.915895
0000273,    14.399645,    41.205994
0000274,    14.380279,    40.302353
0000275,    14.569412,    41.531945
0000276,    14.506419,    41.823079
0000277,    13.652898,    41.615591
0000278,    13.438144,    40.665515
0000279,    14.949471,    42.148317
0000280,    14.290183,    41.021395
0000281,    13.843846,    40.712437
0000282,    13.685717,    41.760207
0000283,    13.263511,    41.018144
0000284,    14.299263,    40.659283
0000285,    13.448064,    40.792905
0000286,    13.695448,    40.978982
0000287,    13.250492,    41.915423
0000288,    15.089698,    40.984575
0000289,    14.467536,    40.420512
0000290,    14.016914,    40.995734
0000291,    14.420691,    41.628223
0000292,    13.810035,    41.178488
0000293,    14.474661,    41.456643
0000294,    13.216207,    40.795283
0000295,    13.410429,    41.204647
0000296,    14.137727,    42.118615
0000297,    13.974527,    41.448790
0000298,    14.614783,    41.025031
0000299,    14.067460,    41.668382
0000300,    13.470427,    40.664058
0000301,    14.590627,    40.402638
0000302,    13.961402,    41.616357
0000303,    15.019019,    41.540841
0000304,    14.174024,    42.190644
0000305,    14.447287,    41.337162
0000306,    14.214328,    40.686235
0000307,    14.959917,    41.294540
0000308,    14.329764,    42.181655
0000309,    14.859876,    40.483691
0000310,    14.808410,    40.979808
0000311,    13.640746,    41.789201
0000312,    13.255602,    40.842463
0000313,    14.561144,    40.312190
0000314,    13.412490,    42.180737
0000315,    13.743282,    40.837669
0000316,    14.079110,    40.524706
0000317,    14.362968,    41.586535
0000318,    14.710074,    40.761574
0000319,    14.200062,    40.286720
0000320,    14.519955,    40.500566
0000321,    14.870405,    40.982068
0000322,    15.157669,    41.847245
0000323,    13.763247,    41.251985
0000324,    13.815771,    41.428388
0000325,    15.161900,    41.784690
0000326,    13.547152,    42.205581
0000327,    14.384905,    42.128863
0000328,    13.455367,    41.416379
0000329,    14.584169,    41.327003
0000330,    14.491662,    40.661717
0000331,    14.128597,    40.537263
0000332,    14.123267,    41.366502
0000333,    14.344240,    41.591788
0000334,    14.024421,    41.948270
0000335,    14.570259,    41.148078
0000336,    14.572757,    41.421441
0000337,    14.585330,    41.908135
0000338,    14.995208,    40.913149
0000339,    14.766822,    40.875857
0000340,    15.006114,    41.897835
0000341,    13.525221,    40.670307
0000342,    14.703136,    41.997731
0000343,    14.135649,    42.155582
0000344,    15.073275,    41.713636
0000345,    14.272280,    41.677807
0000346,    13.478981,    41.214392
0000347,    15.123697,    40.297970
0000348,    15.096960,    41.502561
0000349,    14.059459,    42.043255
0000350,    13.568075,    42.161600
0000351,    14.474475,    41.808162
0000352,    13.925266,    42.083017
0000353,    13.346398,    41.756740
0000354,    13.564477,    40.489524
0000355,    14.229531,    41.918192
0000356,    14.724201,    42.043692
0000357,    15.055031,    41.446094
0000358,    15.068231,    40.596726
0000359,    13.391379,    41.356051
0000360,    15.129311,    42.136541
0000361,    13.798797,    40.451225
0000362,    14.502176,    40.575591
0000363,    13.851447,    40.673331
0000364,    13.448961,    40.865165
0000365,    13.605558,    41.694180
0000366,    14.400835,    40.965265
0000367,    14.074378,    41.432223
0000368,    13.736800,    41.222094
0000369,    13.519215,    40.878057
0000370,    15.211777,    40.848236
0000371,    14.719202,    41.446376
0000372,    13.387440,    41.737146
0000373,    13.879759,    41.390703
0000374,    14.282578,    41.921062
0000375,    13.797097,    42.044346
0000376,    13.265608,    41.487588
0000377,    13.378361,    42.174416
0000378,    14.223566,    40.678254
0000379,    14.358351,    41.769582
0000380,    13.521186,    41.565984
0000381,    13.471733,    41.982627
0000382,    14.596308,    42.184585
0000383,    13.315041,    40.549474
0000384,    14.352034,    41.096937
0000385,    14.207287,    41.206282
0000386,    13.839651,    41.708365
0000387,    13.756524,    41.394043
0000388,    15.102666,    40.890978
0000389,    15.029324,    41.204365
0000390,    15.000481,    40.839705
0000391,    13.521908,    40.766726
0000392,    14.532542,    40.785418
0000393,    14.539116,    41.975981
0000394,    13.352098,    40.679194
0000395,    13.512577,    40.726639
0000396,    14.624622,    41.843842
0000397,    13.225366,    42.006782
0000398,    13.348097,    40.985714
0000399,    13.284009,    41.477060
0000400,    14.297518,    41.759141
0000401,    13.484004,    41.185986
0000402,    14.899340,    41.316232
0000403,    14.097985,    41.690232
0000404,    13.374310,    42.184072
0000405,    15.083632,    40.877808
0000406,    15.140405,    41.752931
0000407,    14.682446,    42.084536
0000408,    13.750357,    41.120900
0000409,    13.400290,    42.242200
0000410,    14.833469,    40.463911
0000411,    13.882112,    40.768151
0000412,    13.626865,    41.098723
0000413,    13.486307,    41.679541
0000414,    15.029561,    41.545433
0000415,    13.239046,    41.882379
0000416,    13.674440,    41.043970
0000417,    13.487810,    41.904394
0000418,    14.147860,    41.540768
0000419,    14.752525,    41.589103
0000420,    14.832561,    42.040990
0000421,    13.658362,    40.364503
0000422,    13.864777,    41.973785
0000423,    14.115064,    40.379549
0000424,    14.136559,    40.504906
0000425,    13.534768,    41.511487
0000426,    14.875375,    41.974749
0000427,    15.171814,    40.595489
0000428,    14.207327,    42.109829
0000429,    14.933054,    41.829445
0000430,    14.810091,    41.167110
0000431,    13.338629,    41.528396
0000432,    14.642489,    40.624597
0000433,    14.794951,    41.918312
0000434,    14.159723,    41.367933
0000435,    14.794330,    42.166372
0000436,    14.932801,    41.476515
0000437,    14.242174,    41.778233
0000438,    13.770063,    41.656410
0000439,    13.407790,    40.363836
0000440,    14.915285,    40.519415
0000441,    13.930480,    40.915684
0000442,    13.847331,    41.010152
0000443,    14.137904,    41.001506
0000444,    13.896403,    41.500361
0000445,    14.596406,    41.987998
0000446,    14.493833,    41.414806
0000447,    14.517324,    41.799969
0000448,    13.310138,    41.752605
0000449,    14.292364,    41.843530
0000450,    14.349204,    41.119513
0000451,    15.193612,    41.054764
0000452,    15.066994,    41.994920
0000453,    14.246780,    41.894974
0000454,    13.753237,    41.331859
0000455,    14.482909,    40.613755
0000456,    13.456236,    41.017181
0000457,    13.432034,    41.274011
0000458,    14.954027,    40.862363
0000459,    13.941572,    40.777590
0000460,    14.328838,    42.066046
0000461,    14.740207,    41.250850
0000462,    15.125760,    41.922245
0000463,    14.697878,    41.790100
0000464,    14.657145,    40.720841
0000465,    15.214243,    40.613993
0000466,    15.102978,    41.820543
0000467,    14.127576,    40.371177
0000468,    13.678645,    40.894768
0000469,    14.183374,    40.352994
0000470,    13.824527,    40.441419
0000471,    13.433545,    40.690327
0000472,    13.960963,    40.560288
0000473,    14.273211,    41.816813
0000474,    13.420169,    41.684402
0000475,    14.350655,    41.590717
0000476,    14.559141,    42.128645
0000477,    15.041517,    40.654174
0000478,    13.819721,    41.355709
0000479,    14.467933,    41.795531
0000480,    14.359271,    40.668664
0000481,    14.403930,    40.438140
0000482,    14.696133,    41.452311
0000483,    14.176319,    40.509885
0000484,    13.635658,    41.320833
0000485,    13.962805,    41.947849
0000486,    14.577666,    41.215355
0000487,    14.172130,    41.463776
0000488,    14.547540,    41.004661
0000489,    14.768688,    40.931015
0000490,    14.470282,    40.801240
0000491,    14.138609,    41.174367
0000492,    14.611049,    40.889041
0000493,    14.120783,    40.688034
0000494,    13.934974,    42.109995
0000495,    15.004275,    42.032260
0000496,    14.504143,    41.302927
0000497,    14.525259,    41.246127
0000498,    14.406537,    42.024802
0000499,    13.744480,    41.925290
0000500,    13.778255,    41.309034
0000501,    14.337568,    40.586343
0000502,    14.189379,    42.048192
0000503,    14.059861,    41.491836
0000504,    14.970901,    41.696624
0000505,    14.364541,    40.581224
0000506,    14.329570,    41.406307
0000507,    14.072713,    41.026131
0000508,    14.940436,    41.425100
0000509,    13.285808,    41.319740
0000510,    15.212130,    42.251744
0000511,    14.470364,    41.631902
0000512,    14.150134,    40.527470
0000513,    13.694433,    40.288932
0000514,    15.097424,    41.215428
0000515,    14.527663,    40.589450
0000516,    13.293607,    41.204589
0000517,    14.799030,    41.963138
0000518,    15.195402,    40.551110
0000519,    14.432031,    41.014391
0000520,    14.211092,    41.240109
0000521,    15.048763,    41.055747
0000522,    14.223547,    41.873792
0000523,    14.173076,    41.524767
0000524,    13.753301,    40.472116
0000525,    15.037869,    40.494647
0000526,    14.050938,    42.163419
0000527,    14.971865,    40.337250
0000528,    14.900537,    41.000163
0000529,    13.483075,    40.969526
0000530,    14.999935,    41.036993
0000531,    14.500418,    40.935236
0000532,    13.998812,    41.182672
0000533,    14.489969,    42.045164
0000534,    14.010900,    40.550916
0000535,    13.962996,    42.022206
0000536,    13.542082,    41.172908
0000537,    14.961694,    41.760846
0000538,    13.990817,    42.109287
0000539,    13.380715,    41.613328
0000540,    14.083598,    40.902250
0000541,    14.084728,    41.432473
0000542,    13.249286,    41.263404
0000543,    14.663850,    41.873152
0000544,    14.092640,    41.581918
0000545,    14.097593,    40.947386
0000546,    13.415287,    40.315925
0000547,    13.297948,    41.234444
0000548,    14.301726,    40.404897
0000549,    13.608694,    40.942506
0000550,    14.091482,    40.513702
0000551,    14.712014,    41.815180
0000552,    14.839349,    41.259039
0000553,    14.113943,    42.261817
0000554,    15.141252,    41.631469
0000555,    14.618507,    40.388330
0000556,    13.638110,    41.860367
0000557,    14.602835,    41.984018
0000558,    13.641185,    40.702417
0000559,    15.064088,    41.386053
0000560,    13.318184,    41.034383
0000561,    14.500113,    41.698698
0000562,    14.336766,    41.208777
0000563,    14.228739,    41.725312
0000564,    13.355744,    41.238103
0000565,    13.674165,    40.839470
0000566,    13.574815,    41.265685
0000567,    15.155076,    41.799498
0000568,    14.012101,    41.883549
0000569,    14.651653,    41.872511
0000570,    14.936169,    42.006999
0000571,    14.689287,    40.873259
0000572,    13.533569,    41.159399
0000573,    15.183790,    41.532929
0000574,    15.196756,    41.486848
0000575,    14.424908,    40.670909
0000576,    13.215510,    40.305805
0000577,    14.060745,    40.994933
0000578,    14.469463,    41.636623
0000579,    13.592951,    41.251899
0000580,    14.003606,    41.569383
0000581,    13.650346,    40.591211
0000582,    13.849791,    40.297041
0000583,    13.409194,    40.689602
0000584,    13.472623,    41.427130
0000585,    14.152857,    40.535569
0000586,    14.920400,    41.239378
0000587,    14.600360,    42.215784
0000588,    13.243794,    40.860335
0000589,    13.707605,    41.832606
0000590,    13.735184,    41.051766
0000591,    14.600141,    41.545556
0000592,    14.741369,    40.434007
0000593,    15.007761,    41.081969
0000594,    13.890943,    42.266593
0000595,    13.253620,    41.740981
0000596,    13.457270,    40.567297
0000597,    13.838780,    41.510509
0000598,    14.612581,    41.379541
0000599,    14.890978,    40.876045
0000600,    13.991803,    41.604558
0000601,    13.307351,    40.318993
0000602,    14.584029,    41.321845
0000603,    14.528711,    41.058945
0000604,    13.729492,    41.715885
0000605,    14.427554,    42.058674
0000606,    14.553092,    41.865366
0000607,    14.852420,    41.447523
0000608,    13.857330,    42.097281
0000609,    13.244200,    41.702960
0000610,    14.233262,    40.927128
0000611,    14.427235,    41.279771
0000612,    14.208295,    41.186496
0000613,    14.862658,    40.918174
0000614,    13.438607,    41.809620
0000615,    14.528321,    40.299824
0000616,    13.338050,    40.728751
0000617,    13.713872,    41.887013
0000618,    14.366140,    40.669103
0000619,    14.879386,    40.707383
0000620,    14.408784,    41.356891
0000621,    13.232404,    41.939578
0000622,    15.145946,    40.387252
0000623,    13.577958,    41.239814
0000624,    14.079957,    40.835045
0000625,    14.791005,    40.576009
0000626,    14.268627,    42.239552
0000627,    15.015674,    40.318730
0000628,    13.388125,    41.273949
0000629,    14.991712,    42.244423
0000630,    14.849312,    42.009518
0000631,    15.135392,    42.085860
0000632,    14.094878,    41.683294
0000633,    13.370578,    42.001891
0000634,    13.221021,    41.514305
0000635,    13.712830,    41.166856
0000636,    15.036765,    41.929171
0000637,    13.604682,    40.415112
0000638,    13.802488,    41.431972
0000639,    15.169980,    42.043631
0000640,    14.254259,    41.374452
0000641,    14.857069,    42.088154
0000642,    13.472875,    41.866325
0000643,    13.653578,    40.406757
0000644,    13.971643,    41.260643
0000645,    13.698103,    40.744803
0000646,    15.023441,    41.204294
0000647,    14.503643,    42.166939
0000648,    14.798691,    41.211789
0000649,    14.865893,    41.489351
0000650,    15.109287,    41.364167
0000651,    13.617495,    40.640710
0000652,    14.832992,    40.458123
0000653,    14.379799,    41.633204
0000654,    14.694703,    42.241549
0000655,    13.985657,    41.849172
0000656,    14.431922,    41.095543
0000657,    13.512389,    40.299178
0000658,    14.105244,    41.170185
0000659,    14.412396,    41.780772
0000660,    13.886160,    40.405812
0000661,    15.203424,    42.056532
0000662,    14.175191,    41.603025
0000663,    14.082136,    41.478936
0000664,    14.599495,    41.192324
0000665,    13.912185,    40.562787
0000666,    14.185746,    41.669921
0000667,    15.164876,    41.190267
0000668,    14.684485,    42.203816
0000669,    14.844184,    41.402443
0000670,    14.716884,    41.284775
0000671,    13.346969,    40.374185
0000672,    13.420379,    40.539374
0000673,    14.463134,    41.207455
0000674,    13.553034,    41.606243
0000675,    15.107154,    41.992848
0000676,    13.994530,    41.158261
0000677,    13.468417,    42.028927
0000678,    13.317034,    42.152873
0000679,    14.569800,    40.960772
0000680,    14.598711,    40.911071
0000681,    13.583152,    40.553496
0000682,    13.663938,    41.993212
0000683,    13.352581,    40.935682
0000684,    14.885264,    41.479384
0000685,    14.819638,    41.127563
0000686,    14.753365,    42.247546
0000687,    15.098973,    42.078212
0000688,    14.255748,    41.244610
0000689,    13.861741,    41.350165
0000690,    14.832273,    40.989440
0000691,    15.058595,    41.031825
0000692,    13.300203,    41.278963
0000693,    14.396077,    41.008464
0000694,    13.398968,    41.193138
0000695,    13.568421,    40.702429
0000696,    13.370159,    40.353953
0000697,    13.284591,    41.355685
0000698,    15.075463,    41.204496
0000699,    14.518025,    42.005558
0000700,    15.180591,    41.743183
0000701,    13.388497,    40.948443
0000702,    15.190400,    41.003708
