id,ra,dec
0000000,    14.502976,    41.487062
0000001,    13.999062,    40.661628
0000002,    15.072992,    40.917509
0000003,    14.596032,    41.312686
0000004,    14.255601,    41.172029
0000005,    14.317276,    40.458861
0000006,    14.845192,    41.735486
0000007,    14.990696,    41.578702
0000008,    13.529987,    40.886913
0000009,    14.525897,    42.224670
0000010,    13.669756,    40.549884
0000011,    14.881854,    40.345092
0000012,    13.975992,    41.732265
0000013,    13.686815,    41.604577
0000014,    14.663298,    41.848931
0000015,    14.237468,    42.102290
0000016,    15.114713,    41.874397
0000017,    15.047385,    41.759892
0000018,    13.417793,    41.247757
0000019,    14.479158,    41.820971
0000020,    14.859834,    42.126791
0000021,    13.375955,    41.047510
0000022,    13.818267,    41.140043
0000023,    14.995050,    41.078368
0000024,    13.718672,    42.033863
0000025,    15.080498,    40.286370
0000026,    13.363675,    40.722760
0000027,    13.816325,    41.699210
0000028,    15.139627,    41.107133
0000029,    13.973563,    41.025541
0000030,    14.387747,    41.297399
0000031,    14.063605,    40.719034
0000032,    13.251836,    42.171023
0000033,    14.308865,    40.801997
0000034,    14.816711,    41.766264
0000035,    13.339420,    41.678616
0000036,    14.395844,    41.651147
0000037,    13.522431,    42.268127
0000038,    13.549638,    41.398732
0000039,    13.473546,    41.350336
0000040,    15.045279,    41.655503
0000041,    14.148581,    41.294530
0000042,    14.910067,    40.590401
0000043,    13.651507,    41.083058
0000044,    14.553431,    40.873810
0000045,    14.805149,    41.732418
0000046,    13.481475,    42.011306
0000047,    13.940596,    40.297443
0000048,    13.942510,    41.303030
0000049,    14.604244,    41.624487
0000050,    13.905392,    41.065215
0000051,    14.792282,    41.844579
0000052,    14.570193,    41.322601
0000053,    13.289760,    42.115842
0000054,    14.392240,    40.362766
0000055,    13.919154,    41.310476
0000056,    13.215474,    40.989697
0000057,    14.049955,    41.771613
0000058,    14.429833,    40.794577
0000059,    15.199995,    41.537266
0000060,    14.438558,    42.009425
0000061,    14.850751,    41.216473
0000062,    14.253142,    40.347983
0000063,    13.900866,    41.441205
0000064,    14.737180,    41.880232
0000065,    14.912760,    40.750320
0000066,    14.892346,    41.663223
0000067,    13.905990,    41.672550
0000068,    14.417042,    41.101832
0000069,    13.805049,    42.138517
0000070,    14.194952,    41.256680
0000071,    13.679071,    41.887354
0000072,    13.969339,    41.435848
0000073,    14.136266,    41.443598
0000074,    13.489341,    40.354757
0000075,    14.056144,    40.699019
0000076,    14.084825,    40.705393
0000077,    15.055031,    41.056851
0000078,    14.066668,    42.142456
0000079,    14.241510,    41.275225
0000080,    14.611203,    41.897726
0000081,    15.092044,    42.235160
0000082,    13.691019,    40.304538
0000083,    14.646938,    41.923205
0000084,    14.678151,    42.044227
0000085,    15.177310,    40.593838
0000086,    13.797145,    41.813260
0000087,    14.647925,    40.902329
0000088,    13.754182,    42.094907
0000089,    14.879121,    40.923462
0000090,    14.063538,    41.585278
0000091,    14.613756,    41.934000
0000092,    13.734891,    41.209633
0000093,    14.089085,    41.737171
0000094,    13.852903,    40.799720
0000095,    14.663201,    41.126666
0000096,    14.453472,    40.568973
0000097,    14.152440,    41.046461
0000098,    14.556044,    40.851983
0000099,    14.400570,    40.513189
0000100,    14.624727,    41.062276
0000101,    13.850004,    42.016909
0000102,    13.872844,    41.823970
0000103,    13.712852,    40.888334
0000104,    14.687559,    41.503271
0000105,    14.513065,    41.350620
0000106,    13.818957,    42.167606
0000107,    14.200576,    42.169391
0000108,    14.634934,    41.319355
0000109,    15.051256,    40.894538
0000110,    14.093044,    41.258394
0000111,    14.235436,    42.257353
0000112,    14.293832,    41.865999
0000113,    13.547492,    41.821938
0000114,    14.912107,    42.018361
0000115,    13.345864,    41.114247
0000116,    13.489015,    41.831387
0000117,    13.787178,    42.188453
0000118,    13.673916,    40.498417
0000119,    14.505727,    40.436391
0000120,    13.428213,    40.300233
0000121,    13.396375,    41.023388
0000122,    14.006814,    41.485967
0000123,    13.530377,    42.009431
0000124,    13.937955,    41.194395
0000125,    13.583538,    41.947583
0000126,    14.241693,    40.345043
0000127,    13.762140,    41.349067
0000128,    13.661838,    41.578335
0000129,    14.965756,    40.434191
0000130,    14.927254,    41.794197
0000131,    14.770224,    41.336459
0000132,    13.358783,    40.899987
0000133,    13.668572,    40.708673
0000134,    14.522369,    40.900734
0000135,    13.781679,    41.156258
0000136,    14.584302,    40.392353
0000137,    14.605842,    41.751280
0000138,    14.511558,    42.113087
0000139,    14.544502,    41.194375
0000140,    13.664160,    40.816588
0000141,    13.490188,    40.535909
0000142,    15.214459,    40.835510
0000143,    13.522041,    41.025925
0000144,    15.178844,    40.500158
0000145,    14.070559,    41.812763
0000146,    14.711409,    40.911124
0000147,    13.837438,    41.972833
0000148,    13.847280,    41.927727
0000149,    13.858568,    42.092994
0000150,    14.007448,    41.012222
0000151,    13.886590,    41.411060
0000152,    14.572571,    40.453049
0000153,    14.491952,    40.834884
0000154,    14.973631,    40.862032
0000155,    14.825689,    41.394728
0000156,    14.898151,    40.505945
0000157,    14.867886,    41.957964
0000158,    15.014938,    41.187559
0000159,    13.914552,    41.430519
0000160,    13.514585,    40.404950
0000161,    13.492617,    40.405867
0000162,    13.948170,    40.761979
0000163,    14.976524,    42.102602
0000164,    14.355583,    40.804584
0000165,    14.994446,    40.896185
0000166,    14.584973,    41.381739
