id,ra,dec
0000000,    14.635711,    40.474232
0000001,    14.711251,    41.955494
0000002,    14.372985,    41.745274
0000003,    14.961484,    40.623563
0000004,    14.699833,    42.031435
0000005,    13.341653,    41.646701
0000006,    14.331031,    40.976707
0000007,    14.302721,    40.331646
0000008,    14.693795,    40.724627
0000009,    14.743074,    40.721872
0000010,    14.311295,    41.454243
0000011,    13.327825,    41.250449
0000012,    13.995637,    41.429928
0000013,    13.581817,    41.911089
0000014,    14.484444,    41.609970
0000015,    14.218697,    41.976209
0000016,    13.631977,    41.054343
0000017,    14.001263,    40.622350
0000018,    14.428372,    40.559286
0000019,    14.615673,    40.363297
0000020,    14.986661,    41.376794
0000021,    13.857632,    41.645499
0000022,    14.808863,    41.620268
0000023,    14.393734,    41.201469
0000024,    14.987922,    41.393442
0000025,    13.633624,    41.774896
0000026,    14.604543,    41.765903
0000027,    14.475262,    41.046061
0000028,    14.296159,    41.118196
0000029,    13.760783,    42.123501
0000030,    14.298300,    40.401323
0000031,    13.886994,    41.164846
0000032,    14.234540,    42.016194
0000033,    14.912903,    40.570700
0000034,    13.611295,    41.416722
0000035,    14.188525,    41.730799
0000036,    14.726663,    42.054531
0000037,    14.234224,    41.420742
0000038,    14.866683,    40.915547
0000039,    13.645225,    40.659216
0000040,    14.064877,    40.992672
0000041,    13.835746,    41.302702
0000042,    13.609422,    42.047923
0000043,    14.547551,    41.722785
0000044,    13.763879,    40.880342
0000045,    14.249612,    41.126648
0000046,    14.643750,    41.270248
0000047,    14.685165,    42.109678
0000048,    13.831965,    40.568333
0000049,    14.824657,    40.817642
0000050,    13.706628,    41.430406
0000051,    15.138052,    41.468648
0000052,    14.722321,    40.614823
0000053,    15.194634,    41.066840
0000054,    14.386102,    40.333077
0000055,    14.040659,    40.363455
0000056,    14.168252,    41.409166
0000057,    14.594608,    40.437818
0000058,    14.896310,    41.245231
0000059,    13.757026,    40.592683
0000060,    13.494262,    41.087032
0000061,    14.224557,    42.021961
0000062,    14.375519,    41.671047
0000063,    14.837970,    41.273692
0000064,    14.357413,    41.487314
0000065,    14.003905,    41.356263
0000066,    13.813859,    42.162854
0000067,    13.833281,    40.848827
0000068,    14.836702,    41.380131
0000069,    15.064566,    41.398238
0000070,    13.374409,    41.605095
0000071,    14.809529,    41.642401
0000072,    13.389841,    41.055660
